# Mnemonic	Knowledge
PVTTIMHALL	Phenylanine, Valine, Tyrptophan, Tyroxine, Isoleucine, Methionine, Histidine, Arginine, Leucine, Lysine
ETMOST		Exosphere, Thermosphere, Mesosphere, Ozone Layer, Stratosphere, Troposphere
VIBGYOR		Violet, Indigo, Blue, Green, Yellow, Orange, Red
HHH		Hydrogenation, Haber's Process, Heavy Water
