#Sentence						Knowledge
Dear Kids Prefer Chocolate Over Fried Green Spinach	Domain, Kingdom, Phylum, Class, Order, Family, Genus, Species
Beta Mange Car Scooter Bap Raja				Be, Mg, Ca, Sr, Ba, Ra
HDL Cholesterol Energizes Some Damn Men's Penis		Hardness, Density, Luster, Conduction, Electostatus, State, Ductile|Malleable, pH
EEls MOvement MeMbrane has PPt of Einsteinium		Eohippus:Eocene, Mesohippus:Oligocene, Merychippus:Miocene, Pliohippus:Pliocene, Equus
GHB Fucks BCG						GravitySepration Haematite Bauxite FrothFloation Blende,Cinnabar,Galena
